aX,aY,aZ,gX,gY,gZ
0.168,-0.749,1.074,-456.787,46.631,175.293
0.172,-0.741,1.071,-474.609,42.236,177.490
0.162,-0.736,1.070,-497.314,42.908,183.594
0.167,-0.748,1.121,-519.165,48.218,192.505
0.181,-0.758,1.192,-539.490,50.964,199.402
0.131,-0.756,1.186,-557.556,45.837,203.247
0.134,-0.771,1.105,-573.486,44.128,204.651
0.215,-0.729,1.080,-582.092,40.527,200.745
0.238,-0.682,1.016,-586.609,22.888,195.190
0.243,-0.645,0.964,-592.041,6.409,194.580
0.264,-0.587,0.864,-599.609,-4.883,194.031
0.279,-0.503,0.739,-603.699,-13.672,188.782
0.281,-0.469,0.615,-596.130,-18.127,178.833
0.267,-0.493,0.499,-577.515,-14.893,163.818
0.221,-0.470,0.373,-554.077,-6.775,145.630
0.202,-0.356,0.230,-524.109,-0.366,127.014
0.161,-0.224,0.050,-488.831,4.578,115.479
0.121,-0.078,-0.169,-451.416,9.949,110.474
0.093,0.082,-0.345,-407.959,14.221,106.018
0.090,0.239,-0.430,-359.497,18.921,98.938
0.116,0.358,-0.430,-313.110,23.376,91.064
0.138,0.444,-0.428,-276.672,23.437,84.900
0.111,0.489,-0.439,-247.375,20.874,79.956
0.133,0.583,-0.484,-219.910,19.592,73.181
0.165,0.659,-0.488,-188.293,18.127,65.491
0.192,0.725,-0.450,-154.297,16.235,59.692
0.237,0.809,-0.425,-122.742,14.526,54.016
0.281,0.893,-0.411,-93.994,12.695,49.072
0.295,0.953,-0.349,-65.369,11.230,45.654
0.303,1.047,-0.232,-40.344,8.606,43.274
0.341,1.131,-0.078,-27.405,4.517,43.518
0.348,1.199,-0.002,-32.166,1.221,49.744
0.352,1.261,0.036,-46.326,2.441,59.937
0.353,1.287,0.054,-57.129,2.563,69.153
0.331,1.294,0.089,-60.608,5.493,76.416
0.997,0.195,0.901,50.842,-89.111,87.280
1.123,0.338,1.026,16.052,-58.594,119.751
0.951,0.480,1.008,-20.386,-47.180,150.085
0.715,0.601,0.922,-49.622,-32.471,183.838
0.701,0.676,0.969,-73.120,2.502,206.970
0.542,0.712,0.919,-83.679,18.677,214.844
0.554,0.874,0.951,-86.243,29.358,214.783
0.515,1.231,0.991,-86.548,30.823,215.759
0.496,1.416,1.071,-85.815,30.640,228.638
0.464,1.553,1.098,-88.684,21.973,237.915
0.396,1.681,1.042,-93.506,12.817,242.737
0.300,1.735,0.878,-95.642,12.634,241.272
0.208,1.714,0.693,-89.661,17.822,226.562
0.131,1.658,0.531,-72.388,21.362,199.524
0.097,1.581,0.421,-46.631,21.729,165.710
0.080,1.502,0.330,-18.738,18.250,132.568
0.053,1.420,0.283,6.226,14.526,105.469
0.049,1.337,0.258,22.827,12.695,84.717
0.032,1.276,0.279,30.701,9.399,70.129
0.008,1.222,0.344,32.166,4.272,59.570
0.018,1.141,0.352,27.466,0.977,48.218
0.042,1.038,0.333,19.836,-0.549,34.790
0.081,0.937,0.300,11.963,0.122,23.804
0.099,0.846,0.284,7.019,1.892,17.761
0.098,0.797,0.291,5.798,3.845,15.076
0.097,0.771,0.283,7.629,5.981,11.841
0.102,0.771,0.288,13.306,8.362,8.789
0.087,0.787,0.314,21.423,8.850,9.216
0.052,0.849,0.370,28.503,8.972,13.489
0.019,0.935,0.438,31.067,9.521,18.066
0.000,1.002,0.510,27.588,10.132,21.545
-0.013,1.016,0.568,18.555,9.460,23.926
-0.014,1.023,0.589,3.113,8.606,26.978
-0.001,1.022,0.554,-14.648,8.118,30.762
0.004,0.989,0.522,-28.320,9.277,33.752
-0.001,0.937,0.478,-37.109,12.695,34.180
-0.008,0.893,0.419,-41.077,17.944,31.677
-0.015,0.851,0.377,-39.246,22.217,26.978
-0.028,0.823,0.351,-32.654,24.414,22.217
-0.032,0.801,0.338,-26.123,24.841,18.860
-0.029,0.783,0.338,-21.423,23.254,17.395
-0.030,0.773,0.335,-18.677,20.020,17.212
-0.025,0.772,0.334,-15.808,15.869,17.090
-0.010,0.788,0.340,-11.047,11.169,16.357
0.006,0.803,0.353,-4.456,6.714,15.259
0.024,0.842,0.385,0.854,3.845,14.404
0.023,0.899,0.430,5.005,1.648,14.343
0.011,0.960,0.477,7.507,1.038,13.245
-0.000,1.015,0.507,8.057,1.770,10.864
-0.005,1.065,0.515,6.897,2.258,7.507
-0.008,1.102,0.520,5.676,2.625,4.272
-0.002,1.106,0.523,4.883,2.991,1.282
0.002,1.075,0.522,4.150,2.808,-1.282
